country,year,award_category,rank_no,score,process,total_value,weight_kg,acidity_str_agg,aroma_flavor_str_agg,other_str_agg,overall_str_agg,characteristics_str_agg
costa-rica,2009,coe,20,84.28,,13775.85,,"bright,clean snappy,crisp","berry,nectarine,floral,peach,stone fruits,nutty,sweet melon","syrup,nice finish","syrup,nice finish","syrup,nice finish"
costa-rica,2009,coe,2,89.35,,24022.35,,"well balanced,orange citrus,snappy","cherry,chocolate,fruity,nuts,honey,apple,orange,tobacco","velvety mouthfeel,buttery,soft","velvety mouthfeel,buttery,soft","velvety mouthfeel,buttery,soft"
costa-rica,2009,coe,22,84.14,,15058.56,,"sweet,bright,fine","very sweet,orange,chocolate,butter,cherry,cream,apricot,green apple,dark berry,stone fruit",lemony,lemony,lemony
costa-rica,2009,coe,18,84.56,,14329.92,,"bright,crisp,juicy,snappy","spicy,lemon peel,citrus,vanilla,red raspberry,graham,chocolate","sparkling,velvety","sparkling,velvety","sparkling,velvety"
costa-rica,2009,coe,15,84.61,,14003.55,,"fine orange,super clean,bright","nougat,rich tobacco,buttery,almond,wheat toast,sweet melon,milk chocolate,floral,buttery",opened as it cooled,opened as it cooled,opened as it cooled
costa-rica,2009,coe,12,85.53,,18823.2,,"citrus,bright,crisp","sweet,buttery,mango,almond,chocolate,honey,molasses,blueberry,jasmine","fine acidity,clean,sweet aftertaste","fine acidity,clean,sweet aftertaste","fine acidity,clean,sweet aftertaste"
costa-rica,2009,coe,19,84.36,,16540.13,,"sparkling,lively,blackberry","sparkling wine,nutty,chocolate,strawberry,lemon,fruit punch","complex,nice finish,as it cooled","complex,nice finish,as it cooled","complex,nice finish,as it cooled"
costa-rica,2009,coe,16,84.58,,14231.25,,"sparkly,clean crisp,firm,fruity","roasted almonds,apricots,malt,black currant",smooth,smooth,smooth
costa-rica,2009,coe,24,84.08,,11612.7,,"red currant,winey","floral,blossom,chocolate,lime,apples,berries,hazelnut,red currant,cherry","thick,velvety,long aftertaste,dry","thick,velvety,long aftertaste,dry","thick,velvety,long aftertaste,dry"
costa-rica,2009,coe,8,87.74,,17244.48,,"refined,pleasant,snappy,fruit","chocolate,cherry,blueberry,faint lime,floral,honeysuckle,grapefruit,black cherry,cream,vanilla,grape candy","got better as cool,smooth,velvety aftertaste,dried fruit,perfume","got better as cool,smooth,velvety aftertaste,dried fruit,perfume","got better as cool,smooth,velvety aftertaste,dried fruit,perfume"
costa-rica,2009,coe,4,89.06,,22078.98,,"strong,structured,bright","strawberry,blackberry,caramel,chocolate,currant,cherry,honey,lemony orange,kiwi",velvety,velvety,velvety
costa-rica,2009,coe,17,84.56,,14231.25,,"bright,white wine dry","orange,lemon,spicy,juicy peach,green apple,chocolate","clean,sweet","clean,sweet","clean,sweet"
costa-rica,2009,coe,23,84.14,,13057.84,,"bright,snappy,juicy,fruity","honey lemon,floral,red berries,almond","smooth,velvety,balanced","smooth,velvety,balanced","smooth,velvety,balanced"
costa-rica,2009,coe,1,90,,31593.71,,"structured,bright,juicy,lively","red grapes,black berry,sweet lime,honey,dark chocolate,butter,mango","smooth,creamy,long aftertaste,balanced,dimensional","smooth,creamy,long aftertaste,balanced,dimensional","smooth,creamy,long aftertaste,balanced,dimensional"
costa-rica,2009,coe,9,87.32,,15369.75,,"bright,fine","very sweet,orange,chocolate,butter,cherry,cream,apricot,green apple,dark berry,stone fruit",lemony,lemony,lemony
costa-rica,2009,coe,11,86.06,,18998.83,,"orange,complex,lively,crisp,bright","caramel corn,cinnamon apple spice,strawberry chocolate,orange spice,apricot,sweet,green apple","silk,custard creamy,round mouthfeel","silk,custard creamy,round mouthfeel","silk,custard creamy,round mouthfeel"
costa-rica,2009,coe,13,85.5,,23878.14,,"citric,refined,backbone","fruity,red cherries,clean,brown sugar,red apple,cedar spice,vanilla,chocolate,ripe,dark fruit","creamy,long aftertaste,well balanced","creamy,long aftertaste,well balanced","creamy,long aftertaste,well balanced"
costa-rica,2009,coe,3,89.12,,26261.4,,"bright,crisp,citric,pineapple,apple,peach","fruity,complex,sweet,peach,honey,berry,melon,bourbon,vanilla,rose,roasted nuts,cherry","very sweet,creamy,well balanced","very sweet,creamy,well balanced","very sweet,creamy,well balanced"
costa-rica,2009,coe,10,86.11,,18716.94,,"sparkling,well balanced,firm","orange,dark chocolate,buttery,pecan,strawberry,buttered whole wheat toast,caramel","sparkling,well balanced,firm","sparkling,well balanced,firm","sparkling,well balanced,firm"
costa-rica,2009,coe,7,88.35,,28739.37,,"bright,crisp,elegant,complex,lively","oatmeal,nutty chocolate,apple roasted almonds,caramel,honey,milk chocolate,white grapes","sensation of mint,syrupy,balanced","sensation of mint,syrupy,balanced","sensation of mint,syrupy,balanced"
costa-rica,2009,coe,21,84.17,,12863.18,,lively,"dry plum,caramel,strawberry,blackberry,black currant,rose,milk chocolate,explosive,balanced,bright",lively,lively,lively
